,id,name,rate
0,1001,Autauga,189
1,1003,Baldwin,507
2,1005,Barbour,109
3,1007,Bibb,124
4,1009,Blount,195
5,1011,Bullock,40
6,1013,Butler,83
7,1015,Calhoun,235
8,1017,Chambers,131
9,1019,Cherokee,138
10,1021,Chilton,176
11,1023,Choctaw,64
12,1025,Clarke,105
13,1027,Clay,96
14,1029,Cleburne,94
15,1031,Coffee,193
16,1033,Colbert,175
17,1035,Conecuh,55
18,1037,Coosa,107
19,1039,Covington,125
20,1041,Crenshaw,77
21,1043,Cullman,233
22,1045,Dale,154
23,1047,Dallas,127
24,1049,DeKalb,181
25,1051,Elmore,239
26,1053,Escambia,131
27,1055,Etowah,215
28,1057,Fayette,97
29,1059,Franklin,107
30,1061,Geneva,121
31,1063,Greene,54
32,1065,Hale,71
33,1067,Henry,115
34,1069,Houston,228
35,1071,Jackson,180
36,1073,Jefferson,485
37,1075,Lamar,81
38,1077,Lauderdale,211
39,1079,Lawrence,140
40,1081,Lee,331
41,1083,Limestone,263
42,1085,Lowndes,78
43,1087,Macon,98
44,1089,Madison,404
45,1091,Marengo,93
46,1093,Marion,124
47,1095,Marshall,221
48,1097,Mobile,374
49,1099,Monroe,98
50,1101,Montgomery,299
51,1103,Morgan,248
52,1105,Perry,54
53,1107,Pickens,95
54,1109,Pike,128
55,1111,Randolph,130
56,1113,Russell,179
57,1115,St. Clair,264
58,1117,Shelby,371
59,1119,Sumter,55
60,1121,Talladega,230
61,1123,Tallapoosa,197
62,1125,Tuscaloosa,319
63,1127,Walker,183
64,1129,Washington,87
65,1131,Wilcox,62
66,1133,Winston,149
67,2013,Aleutians East,5
68,2016,Aleutians West,11
69,2020,Anchorage,174
70,2050,Bethel,20
71,2060,Bristol Bay,9
72,2068,Denali,17
73,2070,Dillingham,19
74,2090,Fairbanks North Star,105
75,2100,Haines,24
76,2105,Hoonah-Angoon,15
77,2110,Juneau,77
78,2122,Kenai Peninsula,104
79,2130,Ketchikan Gateway,59
80,2150,Kodiak Island,47
81,2164,Lake and Peninsula,6
82,2170,Matanuska-Susitna,139
83,2180,Nome,25
84,2185,North Slope,20
85,2188,Northwest Arctic,13
86,2195,Petersburg,26
87,2198,Prince of Wales-Hyder,17
88,2220,Sitka,50
89,2230,Skagway,20
90,2240,Southeast Fairbanks,38
91,2261,Valdez-Cordova,47
92,2275,Wrangell,16
93,2282,Yakutat,8
94,2290,Yukon-Koyukuk,12
95,4001,Apache,152
96,4003,Cochise,251
97,4005,Coconino,339
98,4007,Gila,256
99,4009,Graham,148
100,4011,Greenlee,40
101,4012,La Paz,121
102,4013,Maricopa,957
103,4015,Mohave,435
104,4017,Navajo,297
105,4019,Pima,595
106,4021,Pinal,552
107,4023,Santa Cruz,173
108,4025,Yavapai,438
109,4027,Yuma,261
110,5001,Arkansas,77
111,5003,Ashley,69
112,5005,Baxter,155
113,5007,Benton,385
114,5009,Boone,121
115,5011,Bradley,49
116,5013,Calhoun,40
117,5015,Carroll,142
118,5017,Chicot,54
119,5019,Clark,92
120,5021,Clay,78
121,5023,Cleburne,166
122,5025,Cleveland,60
123,5027,Columbia,77
124,5029,Conway,114
125,5031,Craighead,207
126,5033,Crawford,157
127,5035,Crittenden,150
128,5037,Cross,98
129,5039,Dallas,43
130,5041,Desha,66
131,5043,Drew,79
132,5045,Faulkner,214
133,5047,Franklin,90
134,5049,Fulton,82
135,5051,Garland,250
136,5053,Grant,104
137,5055,Greene,134
138,5057,Hempstead,89
139,5059,Hot Spring,119
140,5061,Howard,66
141,5063,Independence,122
142,5065,Izard,85
143,5067,Jackson,81
144,5069,Jefferson,157
145,5071,Johnson,92
146,5073,Lafayette,47
147,5075,Lawrence,85
148,5077,Lee,30
149,5079,Lincoln,60
150,5081,Little River,71
151,5083,Logan,93
152,5085,Lonoke,198
153,5087,Madison,120
154,5089,Marion,98
155,5091,Miller,125
156,5093,Mississippi,119
157,5095,Monroe,37
158,5097,Montgomery,84
159,5099,Nevada,51
160,5101,Newton,59
161,5103,Ouachita,91
162,5105,Perry,75
163,5107,Phillips,60
164,5109,Pike,66
165,5111,Poinsett,96
166,5113,Polk,84
167,5115,Pope,150
168,5117,Prairie,54
169,5119,Pulaski,353
170,5121,Randolph,104
171,5123,St. Francis,85
172,5125,Saline,261
173,5127,Scott,61
174,5129,Searcy,68
175,5131,Sebastian,185
176,5133,Sevier,69
177,5135,Sharp,99
178,5137,Stone,81
179,5139,Union,130
180,5141,Van Buren,117
181,5143,Washington,322
182,5145,White,164
183,5147,Woodruff,52
184,5149,Yell,91
185,6001,Alameda,625
186,6003,Alpine,53
187,6005,Amador,248
188,6007,Butte,355
189,6009,Calaveras,286
190,6011,Colusa,134
191,6013,Contra Costa,615
192,6015,Del Norte,157
193,6017,El Dorado,450
194,6019,Fresno,540
195,6021,Glenn,145
196,6023,Humboldt,251
197,6025,Imperial,249
198,6027,Inyo,121
199,6029,Kern,543
200,6031,Kings,275
201,6033,Lake,260
202,6035,Lassen,153
203,6037,Los Angeles,883
204,6039,Madera,338
205,6041,Marin,373
206,6043,Mariposa,173
207,6045,Mendocino,252
208,6047,Merced,377
209,6049,Modoc,75
210,6051,Mono,203
211,6053,Monterey,463
212,6055,Napa,345
213,6057,Nevada,367
214,6059,Orange,751
215,6061,Placer,537
216,6063,Plumas,194
217,6065,Riverside,793
218,6067,Sacramento,634
219,6069,San Benito,266
220,6071,San Bernardino,694
221,6073,San Diego,769
222,6075,San Francisco,430
223,6077,San Joaquin,530
224,6079,San Luis Obispo,439
225,6081,San Mateo,467
226,6083,Santa Barbara,461
227,6085,Santa Clara,599
228,6087,Santa Cruz,363
229,6089,Shasta,332
230,6091,Sierra,72
231,6093,Siskiyou,199
232,6095,Solano,506
233,6097,Sonoma,451
234,6099,Stanislaus,464
235,6101,Sutter,265
236,6103,Tehama,229
237,6105,Trinity,100
238,6107,Tulare,409
239,6109,Tuolumne,271
240,6111,Ventura,577
241,6113,Yolo,382
242,6115,Yuba,300
243,8001,Adams,560
244,8003,Alamosa,114
245,8005,Arapahoe,619
246,8007,Archuleta,193
247,8009,Baca,27
248,8011,Bent,47
249,8013,Boulder,477
250,8014,Broomfield,318
251,8015,Chaffee,196
252,8017,Cheyenne,19
253,8019,Clear Creek,200
254,8021,Conejos,69
255,8023,Costilla,52
256,8025,Crowley,44
257,8027,Custer,131
258,8029,Delta,183
259,8031,Denver,620
260,8033,Dolores,40
261,8035,Douglas,557
262,8037,Eagle,324
263,8039,Elbert,288
264,8041,El Paso,616
265,8043,Fremont,259
266,8045,Garfield,276
267,8047,Gilpin,160
268,8049,Grand,266
269,8051,Gunnison,191
270,8053,Hinsdale,45
271,8055,Huerfano,115
272,8057,Jackson,36
273,8059,Jefferson,620
274,8061,Kiowa,15
275,8063,Kit Carson,62
276,8065,Lake,135
277,8067,La Plata,285
278,8069,Larimer,531
279,8071,Las Animas,139
280,8073,Lincoln,82
281,8075,Logan,143
282,8077,Mesa,342
283,8079,Mineral,41
284,8081,Moffat,123
285,8083,Montezuma,162
286,8085,Montrose,210
287,8087,Morgan,173
288,8089,Otero,117
289,8091,Ouray,109
290,8093,Park,277
291,8095,Phillips,49
292,8097,Pitkin,177
293,8099,Prowers,65
294,8101,Pueblo,376
295,8103,Rio Blanco,87
296,8105,Rio Grande,129
297,8107,Routt,243
298,8109,Saguache,80
299,8111,San Juan,37
300,8113,San Miguel,111
301,8115,Sedgwick,28
302,8117,Summit,321
303,8119,Teller,256
304,8121,Washington,64
305,8123,Weld,508
306,8125,Yuma,83
307,9001,Fairfield,491
308,9003,Hartford,454
309,9005,Litchfield,326
310,9007,Middlesex,316
311,9009,New Haven,433
312,9011,New London,336
313,9013,Tolland,287
314,9015,Windham,258
315,10001,Kent,314
316,10003,New Castle,399
317,10005,Sussex,411
318,12001,Alachua,438
319,12003,Baker,159
320,12005,Bay,527
321,12007,Bradford,162
322,12009,Brevard,698
323,12011,Broward,847
324,12013,Calhoun,85
325,12015,Charlotte,579
326,12017,Citrus,453
327,12019,Clay,406
328,12021,Collier,807
329,12023,Columbia,230
330,12027,DeSoto,144
331,12029,Dixie,93
332,12031,Duval,654
333,12033,Escambia,511
334,12035,Flagler,436
335,12037,Franklin,157
336,12039,Gadsden,168
337,12041,Gilchrist,131
338,12043,Glades,114
339,12045,Gulf,176
340,12047,Hamilton,91
341,12049,Hardee,112
342,12051,Hendry,174
343,12053,Hernando,470
344,12055,Highlands,300
345,12057,Hillsborough,818
346,12059,Holmes,133
347,12061,Indian River,459
348,12063,Jackson,147
349,12065,Jefferson,123
350,12067,Lafayette,54
351,12069,Lake,612
352,12071,Lee,932
353,12073,Leon,409
354,12075,Levy,220
355,12077,Liberty,58
356,12079,Madison,116
357,12081,Manatee,711
358,12083,Marion,543
359,12085,Martin,458
360,12086,Miami-Dade,731
361,12087,Monroe,438
362,12089,Nassau,356
363,12091,Okaloosa,505
364,12093,Okeechobee,174
365,12095,Orange,789
366,12097,Osceola,612
367,12099,Palm Beach,875
368,12101,Pasco,654
369,12103,Pinellas,842
370,12105,Polk,645
371,12107,Putnam,241
372,12109,St. Johns,590
373,12111,St. Lucie,546
374,12113,Santa Rosa,453
375,12115,Sarasota,770
376,12117,Seminole,576
377,12119,Sumter,417
378,12121,Suwannee,177
379,12123,Taylor,120
380,12125,Union,87
381,12127,Volusia,677
382,12129,Wakulla,188
383,12131,Walton,584
384,12133,Washington,140
385,13001,Appling,89
386,13003,Atkinson,37
387,13005,Bacon,62
388,13007,Baker,31
389,13009,Baldwin,187
390,13011,Banks,122
391,13013,Barrow,300
392,13015,Bartow,292
393,13017,Ben Hill,80
394,13019,Berrien,101
395,13021,Bibb,286
396,13023,Bleckley,72
397,13025,Brantley,82
398,13027,Brooks,103
399,13029,Bryan,247
400,13031,Bulloch,221
401,13033,Burke,113
402,13035,Butts,176
403,13037,Calhoun,39
404,13039,Camden,218
405,13043,Candler,79
406,13045,Carroll,304
407,13047,Catoosa,241
408,13049,Charlton,83
409,13051,Chatham,438
410,13053,Chattahoochee,41
411,13055,Chattooga,117
412,13057,Cherokee,466
413,13059,Clarke,307
414,13061,Clay,44
415,13063,Clayton,365
416,13065,Clinch,50
417,13067,Cobb,581
418,13069,Coffee,104
419,13071,Colquitt,136
420,13073,Columbia,316
421,13075,Cook,93
422,13077,Coweta,364
423,13079,Crawford,91
424,13081,Crisp,106
425,13083,Dade,118
426,13085,Dawson,235
