,id,name,rate
0,1001,Autauga,86.1
1,1003,Baldwin,78.0
2,1005,Barbour,77.6
3,1007,Bibb,82.4
4,1009,Blount,84.1
5,1011,Bullock,78.3
6,1013,Butler,78.2
7,1015,Calhoun,83.2
8,1017,Chambers,82.3
9,1019,Cherokee,79.3
10,1021,Chilton,82.8
11,1023,Choctaw,78.6
12,1025,Clarke,79.8
13,1027,Clay,82.2
14,1029,Cleburne,81.6
15,1031,Coffee,87.7
16,1033,Colbert,80.1
17,1035,Conecuh,77.9
18,1037,Coosa,77.7
19,1039,Covington,83.4
20,1041,Crenshaw,82.9
21,1043,Cullman,81.7
22,1045,Dale,84.5
23,1047,Dallas,80.3
24,1049,DeKalb,82.5
25,1051,Elmore,83.6
26,1053,Escambia,78.5
27,1055,Etowah,82.2
28,1057,Fayette,80.5
29,1059,Franklin,75.6
30,1061,Geneva,83.6
31,1063,Greene,70.4
32,1065,Hale,83.1
33,1067,Henry,80.2
34,1069,Houston,83.3
35,1071,Jackson,80.2
36,1073,Jefferson,79.9
37,1075,Lamar,78.6
38,1077,Lauderdale,78.6
39,1079,Lawrence,77.0
40,1081,Lee,82.5
41,1083,Limestone,83.1
42,1085,Lowndes,79.9
43,1087,Macon,82.3
44,1089,Madison,82.6
45,1091,Marengo,80.3
46,1093,Marion,80.6
47,1095,Marshall,80.6
48,1097,Mobile,82.7
49,1099,Monroe,82.7
50,1101,Montgomery,85.2
51,1103,Morgan,81.5
52,1105,Perry,86.5
53,1107,Pickens,80.3
54,1109,Pike,82.2
55,1111,Randolph,80.3
56,1113,Russell,91.5
57,1115,St. Clair,82.9
58,1117,Shelby,81.4
59,1119,Sumter,84.0
60,1121,Talladega,83.9
61,1123,Tallapoosa,75.5
62,1125,Tuscaloosa,83.8
63,1127,Walker,81.2
64,1129,Washington,76.9
65,1131,Wilcox,80.9
66,1133,Winston,70.8
67,2013,Aleutians East,60.1
68,2016,Aleutians West,65.6
69,2020,Anchorage,83.7
70,2050,Bethel,83.1
71,2060,Bristol Bay,94.8
72,2068,Denali,80.3
73,2070,Dillingham,88.8
74,2090,Fairbanks North Star,87.8
75,2100,Haines,78.4
76,2105,Hoonah-Angoon,73.5
77,2110,Juneau,82.4
78,2122,Kenai Peninsula,79.0
79,2130,Ketchikan Gateway,80.9
80,2150,Kodiak Island,80.5
81,2164,Lake and Peninsula,88.6
82,2170,Matanuska-Susitna,85.3
83,2180,Nome,88.5
84,2185,North Slope,90.5
85,2188,Northwest Arctic,72.0
86,2195,Petersburg,75.4
87,2198,Prince of Wales-Hyder,81.9
88,2220,Sitka,78.3
89,2230,Skagway,79.4
90,2240,Southeast Fairbanks,89.5
91,2261,Valdez-Cordova,82.1
92,2275,Wrangell,83.9
93,2282,Yakutat,73.5
94,2290,Yukon-Koyukuk,81.9
95,4001,Apache,79.3
96,4003,Cochise,85.4
97,4005,Coconino,75.2
98,4007,Gila,73.7
99,4009,Graham,85.2
100,4011,Greenlee,87.2
101,4012,La Paz,79.4
102,4013,Maricopa,78.2
103,4015,Mohave,77.0
104,4017,Navajo,77.8
105,4019,Pima,80.8
106,4021,Pinal,82.7
107,4023,Santa Cruz,80.9
108,4025,Yavapai,72.8
109,4027,Yuma,86.7
110,5001,Arkansas,87.1
111,5003,Ashley,81.5
112,5005,Baxter,80.1
113,5007,Benton,79.8
114,5009,Boone,79.5
115,5011,Bradley,90.5
116,5013,Calhoun,84.1
117,5015,Carroll,76.1
118,5017,Chicot,71.3
119,5019,Clark,78.0
120,5021,Clay,82.7
121,5023,Cleburne,78.0
122,5025,Cleveland,83.5
123,5027,Columbia,80.6
124,5029,Conway,81.4
125,5031,Craighead,81.1
126,5033,Crawford,81.8
127,5035,Crittenden,88.9
128,5037,Cross,82.7
129,5039,Dallas,88.1
130,5041,Desha,83.5
131,5043,Drew,83.8
132,5045,Faulkner,82.9
133,5047,Franklin,78.8
134,5049,Fulton,82.1
135,5051,Garland,76.9
136,5053,Grant,85.5
137,5055,Greene,82.1
138,5057,Hempstead,76.3
139,5059,Hot Spring,78.7
140,5061,Howard,74.0
141,5063,Independence,81.8
142,5065,Izard,79.2
143,5067,Jackson,81.6
